fromstopname,route_name,Count of total passengers
56 Dukaan,C-1,9
56 Dukan,C-1,19
56 Dukan Or Palasia,E-3,289
56 Dukan Or Palasia,R-9,406
7 Meel,M-22,23
8 Meel,M-22,65
9 Mile,M-19,363
Aastha Talkies,R-17,47
Abhinandan Pump,C2-(16),32
Abhvaj Udyan Or Choithram Chouraha,R-5,278
Advanced Academy,C-1,12
Agarwal Public School,M-29,27
Agrashen Chauraha,E-4,189
Agrawal Toll Kanta,M-17,41
Agrawal Toll Kanta,M-26,17
Agrawal Toll Kanta,M-26A,1
Agrawal Toll Kanta,N-5,8
Agrawal Toll Kanta,R-4,13
Ahilya Ashram,M-29,12
Airport,E-1,108
Airport,M-24B,38
Airport Gate,E-1,20
Akashwani,M-35,8
Ambikapuri Or Venkatesh Nagar,E-1,15
Amrapali Restrorant,E-5,7
Anand Bazar,C-1,30
Annapurna Nagar,E-4,141
Annapurna Nagar,M-20,14
Annapurna Nagar,M-20A,2
Annapurna Temple,E-4,119
Annapurna Temple,M-20,20
Annapurna Temple,M-20A,1
Annapurna Temple,R-4,98
Anshal Town,R-4,7
Antim Chauraha,E-1,75
Antim Chauraha,E-3,24
Antim Chauraha,M-11,18
Antim Chauraha,M-24B,17
Antim Chauraha,M-37,5
Antim Chauraha,M-4,25
Anup Talkies,M-25,84
Apj Abdul Kalam Univercity,R-4,13
Arodam Thana,E-1,50
Ashram Limbda Or Queens College,C-3,21
Ashram Limbda Or Queens College,M-19,169
Ashram Limbda Or Queens College,M-4,160
Ashram Limbda Or Queens College,M-6,470
Ashram Limbda Or Queens College,N-5,71
Ashta,Ashta-Indore,59
Ashta,Indore-Shujalpur,2
Aurobindo,C-4(M-34),463
Aurobindo,E-5,278
Aurobindo,M-35,514
Aurobindo,N-13,24
Aurobindo,R-5,3568
Azad Nagar,C2-(16),329
B C M,M-25,121
B C M,N-13,21
Babu Murai Or Ramkrishna Hospital,E-1,37
Babul Nagar,M-22,48
Babul Nagar,M-22 A,44
Babul Nagar,M-23,4
Babul Nagar,R-17,36
Bada Ganpati,C-3,25
Bada Ganpati,E-1,182
Bada Ganpati,E-3,503
Bada Ganpati,E-5,505
Bada Ganpati,M-11,251
Bada Ganpati,M-24B,177
Bada Ganpati,M-37,20
Bada Ganpati,M-4,408
Badi,Hoshangabad-Indore,2
Badwali Chowki,E-3,13
Badwali Chowki,M-11,19
Bakery Gali,M-11,10
Bakery Gali,M-25,10
Bakery Gali,M-36,29
Balaji Enclave,R-4,3
Banderi,Jhabhua-Indore,1
Baneswari Kund,E-5,519
Banganga,C-4(M-34),321
Bangrada Road Or Chota And Bada Bangadda,N-13,6
Bank,C2-(16),474
Bapat Square,M-17,85
Bapat Square,M-26,7
Bapat Square,M-26A,2
Bapat Square,N-13,31
Bapat Square,R-17,43
Bapat Square,R-4,38
Bapat Square,R-5,417
Barsana Garden,M-29,31
Bayan,Indore-Hoshangabad,1
Bengali Chouraha,E-3,315
Bengali Chouraha,M-27,855
Bengali Chouraha,M-37,63
Bengali Chouraha,N-12,79
Bengali Chouraha,N-5,365
Bengali Chouraha,R-5,1192
Bengali Chouraha,R-9,530
Bengali Colony,M-37,4
Bengali Colony,N-12,4
Bengali Colony,R-9,241
Bhagirathpura,M-11,76
Bhagirathpura Puliya,M-11,26
Bhairav Baba Mandir,M-24B,5
Bhairav Baba Mandir,N-13,2
Bhamori,M-25,44
Bhamori,R-17,10
Bhandari Mill Agniban,M-35,40
Bhandari Mill Agniban,R-4,33
Bhangad Squre Shalimar,R-17,5
Bharat Petrol Pump,M-27,145
Bharat Petrol Pump,N-5,40
Bhawani Nagar Or Super Coridor Bridge,N-13,23
Bholaram Chouraha,M-27,417
Bholaram Chouraha,N-12,60
Biaora,Indore-Narsingarh Via Biaora,1
Biaora,Narsingarh-Indore Via Biaora,5
Bicholi Mardana,M-29,88
Bijalpur,M-35,16
Bijasan Central School,C-3,4
Bijasan Central School,E-1,29
Bijasan Central School,M-24B,51
Bijasan Central School,M-37,2
Bijwad,Indore-Hoshangabad,1
Biyabani,E-5,129
Bohra Colony Or Trimula Own,N-13,1
Bombay Hospital,M-25,241
Bombay Hospital,M-27,556
Bombay Hospital,N-13,42
Bombay Hospital,N-5,129
Bombay Hospital,R-5,596
Borkheda Kalan,Hoshangabad-Indore,1
Brahman Pipliya,M-26A,7
Bsf Colony,M-24B,10
Budhaniya,M-24B,58
Budhaniya,N-13,1
Buranakhedi,M-37,10
By Pass Chouhan Nasta,Indore-Ashta,1
By Pass Chouhan Nasta,Indore-Shujalpur,1
Bypass,M-26,7
Bypass,M-29,47
Bypass,M-37,21
Bypass,N-12,2
Bypass,R-9,161
California City,R-9,42
Casa Green Township,R-4,1
Cat Square,E-1,12
Cat Square,M-20,40
Cat Square,M-20A,10
Cat Square,N-12,19
Cat Square,R-9,67
Chameli Devi,M-19,109
Chameli Devi School,M-35,44
Chanakya Complex,M-36,5
Chanakyapuri Or Kesar Bagh Bridge,E-4,281
Chanakyapuri Or Kesar Bagh Bridge,M-20,84
Chanakyapuri Or Kesar Bagh Bridge,M-20A,15
Chanakyapuri Or Kesar Bagh Bridge,M-27,563
Chanakyapuri Or Kesar Bagh Bridge,N-12,67
Chanakyapuri Or Kesar Bagh Bridge,R-4,77
Chandan Nagar,C2-(16),884
Chandan Nagar,M-27,1011
Chandralok,C-1,6
Chapda,Hoshangabad-Indore,3
Chapda,Indore-Hoshangabad,1
Chhoti Gwaltoli,C-4(M-34),30
Chhoti Gwaltoli,C2-(16),84
Chhoti Gwaltoli,M-22,2
Chhoti Gwaltoli,M-22 A,30
Chhoti Gwaltoli,M-36,2
Chhoti Gwaltoli,R-17,1
Chiman Bagh,M-11,31
Chiman Bagh,M-35,48
Chiman Bagh,R-4,47
Chitawad,E-4,144
Chitawad,M-22,57
Chitawad,M-22 A,90
Chitawad,M-23,2
Chitawad,M-27,94
Chitawad,M-37,1
Chitawad,N-12,2
Chitawad,N-5,23
Chitawad,R-17,97
Chitawad,R-5,559
Choithram Hospital,M-11,111
Choithram Hospital,M-35,77
Choithram Hospital,R-5,166
Choithram Mandi,M-11,248
Choithram Mandi,M-27,885
Choithram Mandi,M-35,619
Choithram Mandi,N-12,24
Choithram Mandi,R-5,369
Chota Bangarda,M-4,40
Chowthi-paltan,E-3,13
Chowthi-paltan,M-11,21
City Bus Depo,M-27,81
City Bus Depo,N-5,32
City Bus Depo,R-5,48
City Center,E-3,28
City Center,R-9,82
Collector Office,E-4,231
Collector Office,M-11,148
Collector Office,M-20,49
Collector Office,M-20A,18
Collector Office,M-24B,72
Collector Office,M-35,191
Collector Office,M-37,11
Collector Office,M-4,450
Collector Office,M-6,907
Collector Office,R-4,326
Collector Office,R-5,735
Collector Office,R-9,405
D A V V Campus,M-19,69
D A V V Campus,M-4,46
D A V V Campus,M-6,103
D A V V Campus,R-5,34
D Mart,E-4,74
D Mart,R-4,42
D R P Line,M-11,16
D R P Line,M-35,19
Dakachya,M-26,31
Damru-ustaad,M-11,24
Dashera Maidan Or Bank Colony,E-4,75
Dashera Maidan Or Bank Colony,M-20,52
Dashera Maidan Or Bank Colony,M-20A,6
Dashrath Bagh Colony,M-29,15
Dastur Garden,M-27,26
Datta Nagar,E-4,39
Datta Nagar,M-20,6
Datta Nagar,M-20A,3
Datta Nagar,N-12,3
Daulatpur,Ashta-Indore,1
Dawa Bazaar,C-4(M-34),47
Dawa Bazaar,M-22 A,47
Dawa Bazaar,M-29,24
Dawa Bazaar,R-17,13
Db City,M-25,97
Db City,N-13,16
Deendayal Garden,R-5,552
Deepmala Dhaba,C-4(M-34),53
Deepmala Dhaba,E-5,83
Deoguradiya Temple,M-22,106
Deoguradiya Temple,M-23,5
Deoguradiya Temple,M-29,30
Dewas Bus Stand,Ashta-Indore,17
Dewas Bus Stand,Indore-Ashta,10
Dewas Bus Stand,Indore-Narsingarh Via Biaora,7
Dewas Bus Stand,Indore-Shujalpur,3
Dewas Bus Stand,Narsingarh-Indore Via Biaora,1
Dewas Naka,M-17,179
Dewas Naka,M-26,66
Dewas Naka,M-26A,5
Dewas Naka,M-27,311
Dewas Naka,N-5,75
Dewas Naka,R-4,85
Dhakkanwala Kuan,M-36,40
Dhanwantri Nagar,E-4,142
Dhanwantri Nagar,M-20,24
Dhanwantri Nagar,M-20A,10
Dhanwantri Nagar,N-12,1
Dhar,Indore-Jhabhua,8
Dhar,Jhabhua-Indore,4
Diamond Colony Or Karnataka Vidya Niketan,R-9,52
Dodi,Ashta-Indore,2
Double Chowki,Harda-Indore,1
Double Chowki,Indore-Hoshangabad,1
Dravid Nagar,E-3,36
Dravid Nagar,R-9,42
Dudhia,M-22,56
Dwarka Puri Or Bhagwati Dwar,E-1,56
Dwarka Puri Or Bhagwati Dwar,E-3,18
Dwarka Puri Or Bhagwati Dwar,R-9,120
Electronic Complex,M-17,24
Electronic Complex,M-26,5
Electronic Complex,M-26A,1
Electronic Complex,M-35,130
Electronic Complex,R-4,63
Emerald Heights School,E-4,62
Energy Hospital,M-22,89
Fortune Hotel,M-17,15
Fortune Hotel,M-26,4
Fortune Hotel,N-13,3
Fortune Hotel,R-17,11
Fortune Hotel,R-4,7
Fortune Hotel,R-5,142
Fortune Landmark Hotel,M-17,2
Fortune Landmark Hotel,N-13,9
Fortune Landmark Hotel,R-17,1
Fortune Landmark Hotel,R-4,20
Fortune Landmark Hotel,R-5,50
G D C College,E-4,128
G D C College,M-11,81
G D C College,M-20,31
G D C College,M-20A,3
G D C College,M-24B,36
G D C College,M-4,167
G D C College,R-4,84
G D C College,R-5,443
G D C College,R-9,216
G P O,M-22,85
G P O,M-22 A,66
G P O,R-17,14
G S I T S Square,M-25,21
Gadiya,Narsingarh-Indore Via Biaora,2
Gamla Wali Puliya,E-4,41
Gandhi Hall Or Palika Plaza,C-4(M-34),63
Gandhi Hall Or Palika Plaza,E-3,139
Gandhi Hall Or Palika Plaza,M-20A,3
Gandhi Hall Or Palika Plaza,M-22 A,99
Gandhi Hall Or Palika Plaza,M-25,90
Gandhi Hall Or Palika Plaza,M-29,66
Gandhi Hall Or Palika Plaza,M-36,92
Gandhi Hall Or Palika Plaza,R-9,161
Gandhi Nagar,C-3,10
Gandhi Nagar,E-1,221
Gandhi Nagar,M-24B,115
Gandhi Nagar,M-37,19
Gandhi Nagar,N-13,21
Ganesh Bagh Square,M-29,51
Ganesh Dham,C-4(M-34),74
Ganesh Dham,E-5,54
Gangwal Bus Stand,C2-(16),1086
Gangwal Bus Stand,E-1,152
Gangwal Bus Stand,E-3,69
Gangwal Bus Stand,M-11,103
Gangwal Bus Stand,M-22 A,152
Gangwal Bus Stand,M-24B,42
Gangwal Bus Stand,M-37,21
Gangwal Bus Stand,M-4,391
Gari Pipliya,M-26A,45
Garib Nawaj Colony,M-4,121
Gaytri Mandir,E-3,68
Gaytri Mandir,R-9,64
Geeta Bhawan Square,M-36,320
Girdhar Mahal,M-25,11
Golwa,Indore-Narsingarh Via Biaora,1
Gomatgiri,E-1,24
Gomatgiri,M-24B,26
Gomatgiri,N-13,8
Gomatgiri Power House,C-3,5
Gomatgiri Power House,E-1,15
Gomatgiri Power House,M-37,4
Gomatgiri Power House,N-13,5
Gopur Square,M-27,482
Gotiya Aam Road,Jhabhua-Indore,2
Gouri Nagar,M-17,68
Gouri Nagar,M-26,12
Gouri Nagar,M-26A,13
Gouri Nagar,M-35,138
Gouri Nagar,R-4,85
Goverment College Rau,M-20,23
Goverment College Rau,M-20A,14
Gram Pipliyahana,C-4(M-34),19
Gram Pipliyahana,M-29,31
Grampanchayat Rangwasa,M-20,3
Grampanchayat Rangwasa,M-20A,11
Gumasta Nagar Or Sudama Nagar Or Arihant,E-1,113
Gumasta Nagar Or Sudama Nagar Or Arihant,E-3,29
Gumasta Nagar Or Sudama Nagar Or Arihant,E-5,125
Gumasta Nagar Or Sudama Nagar Or Arihant,R-9,59
Guran,M-26A,8
Gurudwara,C-3,2
Gurudwara,C2-(16),614
Gurudwara,M-20,10
Gurudwara,M-22 A,118
Gurudwara,M-35,57
Gurudwara,M-6,54
Gurudwara,R-4,43
Gurudwara,R-9,55
Gurukul Colony,M-20,5
Haj House,C-4(M-34),2
Haji Colony,C-1,31
Hammal Colony,M-4,25
Hanuman Mandir,M-17,15
Hanuman Mandir,M-26,38
Hanuman Mandir,M-26A,1
Hanuman Mandir,M-27,97
Hanuman Mandir,M-29,170
Hanuman Mandir,M-37,8
Hanuman Mandir,N-5,108
Hanuman Mandir,R-5,81
Hanuman Mandir Or Tilak Nagar,E-3,100
Hanuman Mandir Or Tilak Nagar,R-9,129
Harda,Harda-Indore,6
Hardias Eye Hospital,M-35,7
Harsiddhi,M-35,23
Harsiddhi,M-6,6
Harsiddhi,R-4,12
Harsiddhi,R-9,30
Hatod Hospital,M-24B,4
Hatod Hospital,M-37,20
Hatod Hospital,N-13,2
Hatod Village,C-3,69
Hatod Village,M-24B,85
Hatod Village,M-37,47
Hatod Village,N-13,19
Hawa Bangla,E-1,67
Hawa Bangla,E-3,70
Hawa Bangla,E-5,148
Hawa Bangla,R-9,151
High Court,C-1,28
High Court,M-25,38
High Court,R-17,13
Himmatgarh,C2-(16),55
Hira Nagar,M-17,26
Hira Nagar,R-17,19
Hira Nagar,R-4,20
Hnutiya,M-26A,28
Hoshangabad,Hoshangabad-Indore,1
Hp Gas Plant,M-26,10
I E T College,M-19,14
I E T College,M-4,30
I E T College,M-6,113
I E T College,N-5,27
I P S Acadamy,E-4,78
I P S Acadamy,M-35,33
I P S Academy,E-4,260
I P S Academy,M-35,207
I T Park Or Ashram Chauraha,C-3,14
I T Park Or Ashram Chauraha,M-19,490
I T Park Or Ashram Chauraha,M-27,1205
I T Park Or Ashram Chauraha,M-37,2
I T Park Or Ashram Chauraha,M-4,435
I T Park Or Ashram Chauraha,M-6,1152
I T Park Or Ashram Chauraha,N-12,106
I T Park Or Ashram Chauraha,N-5,532
I T Park Or Ashram Chauraha,R-5,463
Iit Gate No 2,M-19,3
Iit Simrol,M-19,38
Imli Bazar,C-4(M-34),1
Imli Bazar,E-3,8
Imli Bazar,M-11,11
Index Medical College,M-22,202
Indian Oil Petrol Pump,N-5,2
Indo German,C-4(M-34),52
Indo German,E-5,49
Indore,Indore-Ashta,26
Indore,Indore-Harda,9
Indore,Indore-Hoshangabad,5
Indore,Indore-Jhabhua,16
